0.62,9.58,-1.63,0.01,-0.03,-0.02,0
0.72,9.57,-1.78,0.02,-0.03,-0.02,0
0.49,9.59,-2.11,-0.04,-0.19,-0.03,0
0.05,9.93,-2.1,-0.07,-0.33,-0.06,0
3.25,19.61,-2.05,-0.73,1.18,1.14,0.91
0.58,10,-3.68,-0.14,0.8,1.18,4.57
2.09,10,0.14,-0.26,0.26,0.05,18.11
1.2,9,-1.54,-0.27,0.2,0.26,22.19
-1.13,8,-2.95,-0.06,-0.9,0.05,32.84
-1.87,7,-2.19,-0.03,-1.04,0.1,37.42
-2.55,6,-1.72,-0.08,-1.28,0.04,42.92
-1.74,5,-1.87,-0.14,-1.42,-0.03,47.67
-4.83,-6.09,-3.21,-0.14,-1.54,0.13,58.01
-4.31,-5.66,-4.18,-0.2,-2.03,-0.05,61.85
-2.63,-4.35,-3.85,-0.12,-1.44,0.05,76.81
-1.58,-3.92,-4.67,-0.13,-1.38,0.08,80.24
-3.05,-3.69,-4.71,-0.03,-1.29,0.03,83.92
-1.92,-3.54,-4.24,0.01,-1.27,-0.04,87.52
-1.42,-2.92,-4.93,0.1,-1.07,0.08,95.39
-1.44,-2.81,-4.33,0.13,-0.98,0.05,97.99
-1.23,-2.79,-4.17,0.11,-0.97,0.06,101.25
-1.63,-2.52,-4.54,0.12,-0.88,0.04,104.61
-1.05,-1.73,-3.51,0.04,-1.1,-0.15,115.6
-1.19,-1.76,-3.79,0.04,-0.96,-0.11,118.11
-0.58,-1.29,-4.62,0.24,-0.93,-0.2,127.61
-0.83,-1.24,-3.86,0.31,-0.95,-0.22,129.29
-0.1,-0.94,-2.55,0.15,-0.54,-0.11,131.98
-0.1,-0.88,-3.16,0.09,-0.39,-0.05,133.66
-0.53,-0.62,-3.15,0.05,-0.5,-0.07,134.92
-0.69,-0.72,-3.23,0.08,-0.62,-0.15,136.26
-0.81,-0.67,-3.59,0.07,-0.64,-0.25,137.86
-0.88,-0.6,-3.06,0.13,-0.69,-0.35,138.45
-1.26,-0.48,-3.65,0.09,-0.86,-0.5,139.54
-0.67,-0.36,-3.68,0.09,-1.07,-0.57,140.39
-0.46,-0.23,-3.07,0.08,-1.11,-0.56,140.89
-0.49,-0.42,-3.06,0.02,-0.94,-0.53,141.82
-0.17,-0.28,-2.76,0,-0.83,-0.5,142.49
-0.52,-0.24,-2.89,-0.11,-0.91,-0.61,144.93
-0.29,-0.36,-3.04,-0.13,-0.75,-0.6,145.01
-0.5,-0.17,-2.45,-0.19,-0.81,-0.64,145.69
-0.23,-0.32,-2.27,-0.27,-0.75,-0.7,145.6
0.01,-0.19,-2.44,-0.34,-0.49,-0.61,145.69
0.27,-0.38,-2,-0.33,-0.04,-0.49,146.02
0.27,-0.38,-2,-0.33,-0.04,-0.49,1555.02
